datum,Slovenija_bencin,Slovenija_dizel,Avstrija_bencin,Avstrija_dizel,Italija_bencin,Italija_dizel
2005-01-03,820.34,815.75,916.0,859.0,1115.75,1018.28
2005-01-10,820.34,815.75,907.0,851.0,1088.0,1004.39
2005-01-17,820.37,815.78,910.0,836.0,1088.14,1004.31
2005-01-24,836.22,833.72,919.0,840.0,1090.01,1004.31
2005-01-31,836.22,833.72,935.0,855.0,1132.11,1022.6
2005-02-07,855.13,841.36,933.0,854.0,1135.87,1022.67
2005-02-14,855.06,841.29,921.0,840.0,1135.88,1022.46
2005-02-21,859.65,831.7,930.0,850.0,1136.04,1022.79
2005-02-28,859.82,831.87,937.0,853.0,1136.04,1022.85
2005-03-07,860.28,846.09,953.0,865.0,1158.78,1047.59
2005-03-14,860.24,846.06,965.0,878.0,1185.9,1072.72
2005-03-21,860.28,882.39,952.0,893.0,1185.98,1072.86
2005-04-04,869.91,902.87,989.0,923.0,1187.92,1074.63
2005-04-11,869.76,902.72,1028.0,948.0,1236.35,1122.8
2005-04-18,919.41,901.46,1015.0,939.0,1236.35,1122.8
2005-04-25,919.41,901.46,1012.0,932.0,1234.89,1121.45
2005-05-02,894.9,882.79,1014.0,931.0,1234.89,1092.92
2005-05-09,895.2,883.09,1012.0,930.0,1215.38,1072.72
2005-05-16,895.24,883.13,1003.0,922.0,1201.12,1062.62
2005-05-23,895.2,883.09,996.0,915.0,1186.26,1052.68
2005-05-30,895.12,883.02,996.0,916.0,1186.26,1052.68
2005-06-06,895.31,883.2,1019.0,937.0,1197.86,1074.55
2005-06-13,895.46,883.35,1021.0,940.0,1216.26,1102.35
2005-06-20,895.09,882.98,1030.0,946.0,1216.44,1104.03
2005-06-27,920.4,929.17,1045.0,961.0,1231.19,1120.85
2005-07-04,920.44,929.21,1051.0,966.0,1245.79,1131.05
2005-07-11,936.2,929.1,1082.0,1003.0,1246.15,1131.97
2005-07-18,936.2,929.1,1071.0,990.0,1247.67,1133.37
2005-07-25,946.06,934.79,1078.0,981.0,1245.7,1132.13
2005-08-01,946.18,934.9,1080.0,980.0,1246.26,1132.13
2005-08-08,946.89,924.35,1085.0,984.0,1246.26,1132.82
2005-08-15,946.93,924.39,1085.0,984.0,1246.26,1132.82
2005-08-22,973.32,946.18,1104.0,1013.0,1275.6,1157.26
2005-08-29,973.28,946.14,1111.0,1018.0,1277.05,1157.9
2005-09-05,993.36,963.3,1159.0,1047.0,1306.89,1179.13
