datum,bencin_95,dizel,kurilno_olje
2020-07-14,1.0,1.0,
2020-07-28,1.0,1.0,
2020-08-11,1.0,1.0,
2020-08-25,1.0,1.0,
2020-09-08,1.0,1.0,
2020-09-22,1.0,1.0,
2020-10-01,,,
2021-11-09,,,0.992
2021-11-23,,,0.983
2021-12-07,,,0.938
2021-12-21,,,0.949
2022-01-04,,,0.958
2022-01-18,,,1.015
2022-02-01,,,0.965
2022-02-15,,,0.994
2022-03-01,,,1.018
2022-03-15,1.503,1.541,1.264
2022-03-29,1.503,1.541,1.269
2022-04-12,1.503,1.541,1.258
2022-04-26,1.503,1.541,1.316
2022-05-01,,,1.316
2022-05-10,,,1.374
2022-05-11,1.56,1.668,1.374
2022-05-23,1.56,1.668,
2022-06-21,1.755,1.848,
2022-07-05,1.723,1.808,
2022-07-19,1.62,1.7,
2022-08-02,1.534,1.676,
2022-08-17,1.49,1.641,
2022-08-30,1.491,1.767,
2022-09-13,1.354,1.683,1.366
2022-09-27,1.353,1.603,1.287
2022-10-11,1.414,1.684,1.367
2022-10-25,1.43,1.775,1.459
2022-11-08,1.482,1.718,1.401
2022-11-22,1.464,1.623,1.306
2022-12-06,1.366,1.556,1.192
2022-12-20,1.242,1.467,1.095
2023-01-04,1.276,1.483,1.115
2023-01-17,1.288,1.483,1.115
2023-01-31,1.355,1.529,1.151
2023-02-14,1.355,1.489,1.083
2023-02-28,1.359,1.489,1.078
2023-03-14,1.374,1.504,1.097
2023-03-28,1.374,1.449,1.043
2023-04-12,1.416,1.441,1.033
2023-04-25,1.416,1.441,1.022
2023-05-09,1.39,1.421,1.001
2023-05-23,1.382,1.426,1.01
2023-06-06,1.412,1.432,1.02
2023-06-20,1.424,1.461,1.04
2023-07-04,1.444,1.481,1.06
2023-07-18,1.456,1.504,1.081
2023-08-01,1.511,1.558,1.13
2023-08-17,1.511,1.558,1.144
2023-08-29,1.544,1.572,1.156
2023-09-12,1.551,1.6,1.181
2023-09-26,1.588,1.664,1.249
2023-10-10,1.536,1.651,1.233
2023-10-24,1.536,1.651,1.233
2023-11-07,1.534,1.608,1.195
2023-11-21,1.508,1.544,1.132
2023-12-05,1.421,1.461,1.119
2023-12-19,1.379,1.418,1.07
2024-01-04,1.393,1.43,1.082
2024-01-16,1.381,1.415,1.065
2024-01-30,1.411,1.457,1.111
2024-02-13,1.445,1.498,1.159
2024-02-27,1.491,1.523,1.17
2024-03-12,1.491,1.523,1.17
2024-03-26,1.519,1.527,1.172
2024-04-09,1.542,1.542,1.18
2024-04-23,1.56,1.527,1.17
2024-05-07,1.541,1.484,1.127
2024-05-21,1.495,1.462,1.103
2024-06-04,1.473,1.463,1.099
2024-06-18,1.445,1.455,1.089
2024-07-02,1.479,1.507,1.145
2024-07-16,1.514,1.528,1.146
2024-07-30,1.514,1.528,1.146
2024-08-13,1.514,1.528,1.146
2024-08-27,1.486,1.519,1.125
2024-09-10,1.475,1.519,1.125
2024-09-24,1.457,1.485,1.092
2024-10-08,1.469,1.499,1.105
2024-10-22,1.51,1.528,1.127
2024-11-05,1.486,1.518,1.115
2024-11-19,1.482,1.542,1.137
2024-12-03,1.493,1.561,1.159
2024-12-17,1.49,1.544,1.138
2024-12-31,1.495,1.554,1.153
2025-01-14,1.523,1.581,1.18
2025-01-28,1.55,1.619,1.218
2025-02-11,1.535,1.586,1.184
2025-02-25,1.538,1.598,1.198
2025-03-11,1.481,1.55,1.145
2025-03-25,1.468,1.513,1.105
2025-04-08,1.495,1.524,1.114
2025-04-23,1.417,1.443,1.036
2025-05-06,1.418,1.44,1.034
2025-05-20,1.434,1.445,1.043
2025-06-03,1.437,1.44,1.037
2025-06-17,1.445,1.458,1.057
2025-07-01,1.465,1.498,1.097
2025-07-15,1.437,1.487,1.087
2025-07-29,1.438,1.492,1.093
2025-08-12,1.443,1.465,1.063
2025-08-26,1.443,1.465,1.063
2025-09-09,1.459,1.487,1.085
2025-09-23,1.465,1.491,1.091
2025-10-07,1.459,1.489,1.088
2025-10-21,1.438,1.46,1.057
2025-11-04,1.455,1.499,1.096
2025-11-18,1.455,1.499,1.096
2025-12-02,1.451,1.485,1.082
2025-12-16,1.433,1.449,1.049
2025-12-30,1.381,1.407,1.008
2026-01-13,1.384,1.404,1.007
2026-01-27,1.411,1.441,1.045
2026-02-10,1.421,1.462,1.068
2026-02-24,1.436,1.465,1.071
2026-03-10,1.466,1.528,1.159
2026-03-24,1.581,1.696,1.342
2026-03-31,1.616,1.807,1.456
2026-04-08,1.653,1.894,1.555
2026-04-14,1.62,1.822,1.484
2026-04-21,1.605,1.736,1.386
2026-04-29,1.635,1.708,1.352
2026-05-05,1.683,1.734,1.38
2026-05-12,1.683,1.734,1.373
2026-05-19,1.709,1.753,1.391
2026-05-26,1.714,1.753,1.388
2026-06-02,1.603,1.647,1.27
2026-06-09,1.592,1.685,1.312
2026-06-16,1.592,1.718,1.318
2026-06-23,1.53,1.607,1.2
2026-06-30,1.537,1.605,1.193
2026-07-07,1.561,1.64,1.233
2026-07-14,1.588,1.723,1.324
2026-07-21,1.649,1.855,1.464
2026-07-28,1.603,1.828,1.436
2026-08-04,1.583,1.882,1.494
2026-08-11,1.519,1.753,1.356
2026-08-18,1.582,1.857,1.47
